,Name,Strain,Url,Description,Price,Strain_type,Terpenes
0,,Balance,https://www.ocs.ca/products/balance-solei,"Balance from Solei is available pre-rolled and in many dried flower weights. Its dark green buds are sun-grown in a greenhouse and harvested at optimal times to ensure its signature spicy flavour, which comes from the peppery beta-caryophyllene in the strain’s terpene profile. This hybrid has very mild THC potency.
",9.06,Indica dominant,"Myrcene,Beta-Caryophyllene,Limonene,Beta-Pinene,Linalool"
1,God Bud,God Bud,https://www.ocs.ca/products/god-bud-redecan,"God Bud from Redecan has resin-coated buds with an herbal, musky flavour combined with tropical fruit and undertones of berry, lavender and pine. The odour can be described as tropical, earthy and citrusy (a result of the caryophyllene-rich terpene profile). This green-and-white-coloured strain with medium THC potency is greenhouse-grown in pesticide-free natural lighting conditions, and then hang-dried, hand-trimmed, sterilized and inspected. It’s available in 1 g, 3.5 g, 7 g and 15 g dried flower sizes.

",9.09,Hybrid,"Beta-Caryophyllene,Trans-Caryophyllene,Humulene,Myrcene,Limonene"
2,Alien Dawg,Alien Dawg,https://www.ocs.ca/products/alien-dawg,"An indica-dominant hybrid strain from Northern California and Afghani roots, Alien Dawg by Canaca is greenhouse grown in London, Ont. It has a sour aroma, but features a light, bitter taste with earthy, woodsy notes of sweetness. This strain has desirable colours of green, orange and purple bud, and medium THC potency. It's available in various sizes of dried flower and pre-rolls.
",9.25,Indica dominant,"Humulene,Limonene,Trans-Caryophyllene"
3,MK Ultra,Dreamweaver,https://www.ocs.ca/products/dream-weaver,"Grown indoors in Paris, Ont., Dreamweaver is an indica strain that is comparable to MK Ultra. Its THC potency is medium, its aroma has been described as earthy and strong, and its flavour combines piney woods with hints of spice and vibrant citrus, thanks to the myrcene, humulene, nerolidol and limonene in its terpene profile. Dreamweaver’s dense green buds are covered in bright orange pistils, and it’s available for purchase in dried flower form only.
",9.25,Indica dominant,"Nerolidol,Humulene,Limonene,Myrcene"
4,CBD Kush,No. 301 Napali CBD,https://www.ocs.ca/products/napali-cbd,"Haven St. grows and harvests No. 301 Napali CBD indoors as an irradiated whole flower, then hand-trims and hang-dries the green and yellow buds. The alpha-pinene and limonene in its terpene profile give it its sweet, citrusy flavour and fresh herb notes. Napali has a CBD to THC ratio of 2:1 which caters to those who are looking for a CBD-dominant strain with mild THC potency. Available in a variety of dried flower and pre-rolled formats.",11.2,Hybrid,"Alpha-Pinene,Beta-Caryophyllene,Beta-Pinene,Limonene,Ocimene"
5,Pakistani Chitral Kush,Purple Chitral,https://www.ocs.ca/products/purple-chitral-woodstock,"Woodstock Purple Chitral has medium THC potency. The green buds on this indoor-grown indica-dominant strain are hand-trimmed and hang-dried, and its robust terpene mix includes myrcene, alpha- and beta-pinene, and guaiol. It’s available in a 3.5 g dried flower size.

",12.65,Indica dominant,"Myrcene,Beta-Pinene,Alpha-Pinene,Guaiol"
6,Banana Split,Banana Split,https://www.ocs.ca/products/banana-split,"Banana Split is an indica-dominant hybrid greenhouse-grown hybrid strain with medium THC potency. Its beta-pinene, terpinolene, linalool and limonene terpene profile produces hints of sour fruitiness and ripe tropical bananas. This hybrid is machine-trimmed, hand-inspected and free from pesticides and gamma irradiation. It’s available in 1 g, 3.5 g, 7 g and 15 g dried flower varieties.
",11.42,Hybrid,"Beta-Pinene,Limonene,Linalool,Terpinolene"
7,Spoetnik #1,Red,https://www.ocs.ca/products/red,"Grown indoors and long-cured in Napanee, Ont., Fireside Red is a hybrid flower strain that is comparable to Spoetnik. It has medium THC potency and a robust terpene profile that includes myrcene and terpineol for an earthy aroma. Fireside Red is available in dried flower and pre-roll formats.
",13.15,Hybrid,"Myrcene,Terpineol,Beta-Caryophyllene"
8,,Sativa,https://www.ocs.ca/products/sativa,"This greenhouse-grown sativa-dominant hybrid strain has very strong THC potency. Its buds stand out for their purple hue, and they’re complemented by a sweet, earthy scent produced by the myrcene, alpha-pinene and beta-caryophyllene in its terpene profile. It’s available in various dried flower sizes.",8.1,Sativa dominant,"Alpha-Pinene,Alpha-Santalene,Beta-Caryophyllene,Myrcene,Selinadienes"
9,Candyland,Houndstooth,https://www.ocs.ca/products/houndstooth,"Greenhouse-grown Houndstooth from Tweed is a sativa-dominant strain with medium THC potency. Its buds have a purple hue and a complex aroma created by a terpene profile that includes myrcene (earthy), beta-caryophyllene (clove-like) and alpha-pinene (piney). It’s available in various dried flower sizes, capsules and pre-rolls.
",10.05,Sativa dominant,"Alpha-Pinene,Alpha-Santalene,Beta-Caryophyllene,Myrcene,Selinadienes"
10,Cold Creek Kush,Cold Creek Kush,https://www.ocs.ca/products/cold-creek-kush-1,"Cold Creek Kush from Seven Oaks is an indica-dominant indoor-grown hybrid strain with medium THC potency. Piney and sour, it has a fresh taste, and its terpene mix includes beta- and trans-caryophyllene, humulene and nerolidol. It's available in 1 g and 3.5 g dried flower sizes.
",13.4,Hybrid,"Beta-Caryophyllene,Trans-Caryophyllene,Humulene,Nerolidol,Limonene"
11,Quantum Kush,Super Sonic,https://www.ocs.ca/products/super-sonic-symbl,"Super Sonic from Symbl is an indoor-grown sativa with fairly dense olive green buds with flecks of rusty red and a coating of frosty trichomes. Unlike most Kush breeds (which are indicas), this Quantum Kush–like strain is a sativa-dominant hybrid and has a strong THC potency. Super Sonic has a tropical taste and a complex and strong earthy yet sweet aroma. It’s available in various dried flower sizes.",10.25,Sativa dominant,"Myrcene,Limonene,Humulene,Nerolidol"
12,Sour Kush,Solar Power,https://www.ocs.ca/products/solar-power-symbl,"Solar Power by Symbl is a Sour Kush–like strain grown indoors in Paris, Ont., that’s known for its dense green and yellow buds. This true hybrid smells of lemon and pine, with a taste that includes tangy citrus, earthy wood and hints of diesel, all created by a terpene profile that includes beta-pinene and limonene. It has very strong THC potency and is available in various dried flower sizes.",10.25,Hybrid,"Beta-Pinene,Limonene,Nerolidol,Linalool"
13,Ultra Sour,Ultra Sour,https://www.ocs.ca/products/ultra-sour,"Ultra Sour from Seven Oaks is a tart indica-dominant strain with very strong THC potency. Its terpinolene-rich terpene profile gives it a pine and diesel smell, and its buds are deep green with rusty orange pistils. Ultra Sour is available in 1 g and 3.5 g dried flower sizes.
",12.75,Indica dominant,"Beta-Caryophyllene,Terpinolene,Trans-Caryophyllene,Humulene,Limonene"
14,Tangerine Dream,Tangerine Dream,https://www.ocs.ca/products/tangerine-dream-san-rafael-71,"San Rafael '71’s Tangerine Dream is a sativa-dominant strain with deep purple buds that is grown, hand-trimmed and hang-dried. Its robust citrus aroma is created by a diverse terpene profile highlighted by myrcene, which is also found in lemon grass. It has strong THC potency and is available in 1 g, 3.5 g and 7 g dried flower varieties.
",12.25,Sativa dominant,"Myrcene,Beta-Pinene,Alpha-Pinene,Guaiol"
15,,Gems,https://www.ocs.ca/products/gems,"Gems is a trichome-rich sativa-dominant flower with medium to high THC potency. Grown in Up’s Great Emerald Hall greenhouse in Niagara, Gems is hand-sorted and hand-finished to preserve the integrity of its trichomes. This strain features buds that are blanketed with white, crystal-capped trichomes and vibrant orange hairs. Dominant terpenes like Nerolidol (also found in jasmine), Beta Caryophyllene (cloves) and Alpha Pinene (pine trees) give Gems its distinct aroma, which is best described as pungent with fruity and peppery notes. Gems’ is available as 1 g and 3.5 g of dried flower.",11.38,Hybrid,"Alpha-Pinene,Beta-Caryophyllene,Nerolidol"
16,White Widow,White Widow,https://www.ocs.ca/products/white-widow,"7Acres’ White Widow is a hybrid that has the Widow’s classic aromatic profile (woodsy and piney from the terpinolene and alpha-pinene terpenes) and visual properties (dense flowers with a coating of white trichomes that give it its name). It’s grown indoors and sun-enriched to improve its dense flower structure, and then slow-dried, artisan-cured and hand-polished. White Widow has strong THC potency and comes in four sizes: 1 g, 3.5 g, 7 g and 15 g.",10.09,Hybrid,"Myrcene,Alpha-Pinene,Terpinolene,Beta-Caryophyllene,Limonene"
17,,Harmonic,https://www.ocs.ca/products/harmonic-alta-vie,"Harmonic from AltaVie is a sativa-dominant strain with significant CBD levels for balance and mild THC potency. Its green buds are grown indoors, hand-trimmed and hang-dried indoors, and the myrcene in its terpene mix is responsible for the earthiness in its taste and aroma. AltaVie offers it as capsules (30 per bottle), as well as in 1 g, 3.5 g and 7 g dried flower varieties.
",13.18,Sativa dominant,"Myrcene,Alpha-Pinene,Beta-Pinene,Limonene"
18,,Airplane Mode,https://www.ocs.ca/products/airplane-mode,"Airplane Mode from AltaVie is hand-trimmed and hang-dried. This indoor-grown indica-dominant strain has medium THC potency and a woody and earthy aroma created by the myrcene, beta-pinene and terpinolene in its terpene mix. It’s available in 1 g, 3.5 g and 7 g dried flower varieties.
",13.13,Indica dominant,"Myrcene,Beta-Pinene,Terpinolene,Beta-Caryophyllene"
19,,50,https://www.ocs.ca/products/50,"A classic hybrid, 50 is indica-dominant and offers a medium THC potency. 50's large, dense buds are coated in silvery-white trichomes. Grown in Up’s Great Emerald Hall greenhouse in Niagara, this hand-sorted and hand-finished strain's flower is emerald green with purple hues. Terpenes like Myrcene (also found in mango), Beta Pinene (nutmeg) and Alpha Pinene (pine trees) give 50 an earthy wood taste and a sour lemon scent with pine undertones. 50 is available as 1 g and 3.5 g of dried flower.",11.38,Hybrid,"Myrcene,Alpha-Pinene,Beta-Pinene"
20,,Campfire,https://www.ocs.ca/products/campfire,"Campfire from AltaVie is a hybrid strain that is grown, hand-trimmed and hang-dried indoors. Its terpene profile, consisting of myrcene, alpha- and beta-pinene, and guaiol, is what gives it its unique floral aroma. It has very mild THC potency and is available in 1 g, 3.5 g and 7 g dried flower varieties.
",13.13,Hybrid,"Myrcene,Alpha-Pinene,Beta-Pinene,Guaiol"
21,Jack Herer,Gather,https://www.ocs.ca/products/gather,"Sun-grown in an eco-friendly greenhouse, Gather has medium THC potency and a musky aroma. The strain’s buds are a vibrant green, and the myrcene and beta-pinene mix of its terpene profile give it an unmistakable muskiness. It’s available pre-rolled and in several dried flower weights.
",9.56,Sativa dominant,"Myrcene,Alpha-Pinene,Beta-Caryophyllene,Beta-Pinene,Limonene"
22,,La Strada,https://www.ocs.ca/products/la-strada,"Sativa-dominant La Strada from Edison is an indoor-grown and machine-trimmed strain with robust, dense, trichome-frosted green and orange flowers, a tangy, tart aroma and notes of freshly picked field berries created by the myrcene in its terpene mix. It has medium THC potency and is available in four dried flower weights: 1 g, 3.5 g, 7 g and 15 g. All Organigram products are individually packaged with Integra Boost technology, which preserves freshness and controls relative humidity levels, therefore extending the products’ shelf life.
",9.96,Sativa dominant,"Myrcene,Alpha-Pinene,Humulene,Limonene"
23,Northern Lights,Northern Lights,https://www.ocs.ca/products/northern-lights-moc,"Royal High’s Northern Lights is a pure indica. It’s grown indoors on Vancouver Island with mother plants from imported seeds, and its honeydew melon flavour comes from the trans- and beta-caryophyllene, limonene, bisabolol and guaiol combination in its terpene profile. Northern Lights has medium THC potency and is available as dried flower in 1 g, 3.5 g and 7 g weights.
",15.36,Indica dominant,"Beta-Caryophyllene,Trans-Caryophyllene,Limonene,Bisabolol,Guaiol"
24,Wabanaki,Rio Bravo,https://www.ocs.ca/products/rio-bravo,"Sativa-dominant Rio Bravo from Edison is an indoor-grown and machine-trimmed strain featuring compact flowers laced with bright crimson pistils, and woodsy, spicy and sweet aromas from the terpinolene and myrcene in its terpene mix. It has strong THC potency and is available in four dried flower weights: 1 g, 3.5 g, 7 g and 15 g. All Organigram products are individually packaged with Integra Boost technology, which preserves freshness and controls relative humidity levels, therefore extending the products’ shelf life.
",9.46,Sativa dominant,"Terpinolene,Myrcene,Alpha-Pinene,Beta-Pinene"
25,OG Kush,Serious Kush,https://www.ocs.ca/products/serious-kush,"Serious Kush from Royal High is grown indoors on Vancouver Island with mother plants from imported seeds. This indica-dominant strain has medium THC potency, an earthy profile and a subtle, spicy finish. Its terpene mix includes alpha-pinene, beta-caryophyllene, humulene, limonene and myrcene, and it's available as dried flower in 1 g, 3.5 g and 7 g weights.
",15.36,Indica dominant,"Alpha-Pinene,Beta-Caryophyllene,Humulene,Limonene,Myrcene"
26,La Blanca,Casablanca,https://www.ocs.ca/products/casablanca-edison,"Indica-dominant Casablanca from Edison is a bold indoor-grown and machine-trimmed strain featuring plush, rich forest green flowers with hints of orange, tightly woven buds and an earthy, fresh aroma from the alpha-pinene and myrcene in its terpene mix. It has strong THC potency and is available in four dried flower weights: 1 g, 3.5 g, 7 g and 15 g. All Organigram products are individually packaged with Integra Boost technology, which preserves freshness and controls relative humidity levels, therefore extending the products’ shelf life.
",9.96,Indica dominant,"Myrcene,Alpha-Pinene,Limonene,Beta-Pinene"
27,Super Skunk,Super Skunk,https://www.ocs.ca/products/super-skunk,"Royal High’s Super Skunk is an indica-dominant hybrid strain with medium THC potency. The floral profile and delicate cream undertones in its taste come from a terpene combination of beta- and trans-caryophyllene, myrcene, alpha-pinene and humulene. It’s grown indoors on Vancouver Island and available as dried flower in 1 g, 3.5 g and 7 g weights.
",15.36,Indica dominant,"Beta-Caryophyllene,Trans-Caryophyllene,Myrcene,Alpha-Pinene,Humulene"
28,Critical Kush,City Lights,https://www.ocs.ca/products/city-lights,"Indica-dominant City Lights from Edison is a bold indoor-grown strain recognized by its lush bud structure and vibrant jade colour. Its freshness, earthiness and sweetness come from the myrcene and humulene in its terpene mix. It has very strong THC potency and is available in four dried flower weights: 1 g, 3.5 g, 7 g and 15 g. All Organigram products are individually packaged with Integra Boost technology, which preserves freshness and controls relative humidity levels, therefore extending the products’ shelf life.
",9.96,Indica dominant,"Humulene,Myrcene,Limonene,Linalool"
29,,M. Great White Shark,https://www.ocs.ca/products/great-white-shark-2,"M. Great White Shark from Royal High is an indoor-grown indica-dominant strain from Vancouver Island. It has strong THC potency and features a full-bodied flavour with skunky notes. The terpene profile of this strain includes myrcene, caryophyllene, pinene and humulene, and it’s grown with mother plants from imported seeds. M. Great White Shark is available as dried flower in 1 g, 3.5 g and 7 g weights.
",15.36,Indica dominant,"Myrcene,Beta-Caryophyllene,Trans-Caryophyllene,Alpha-Pinene,Humulene"
30,,Great White Shark,https://www.ocs.ca/products/great-white-shark,"Great White Shark from Royal High is an indoor-grown indica-dominant strain from Vancouver Island. It has a floral taste with a skunky profile derived from Super Skunk, Brazilian and South Indian genetics. It has medium THC potency, and its terpene profile features beta- and trans-caryophyllene, myrcene, alpha-pinene and humulene. Great White Shark is available as dried flower in 1 g, 3.5 g and 7 g weights.",15.36,Indica dominant,"Beta-Caryophyllene,Trans-Caryophyllene,Myrcene,Alpha-Pinene,Humulene"
31,,Cabaret,https://www.ocs.ca/products/cabaret,"Cabaret from Alta Vie is a sativa-dominant strain with a sweet aroma and hints of grapefruit, and very strong THC potency. It is grown, hand-trimmed and hang-dried indoors, and has a terpene mix that includes terpinolene for fruitiness. It’s available in 1 g, 3.5 g and 7 g dried flower varieties.
",13.18,Sativa dominant,"Myrcene,Beta-Pinene,Terpinolene,Beta-Caryophyllene"
32,,Balanced,https://www.ocs.ca/products/balanced,"This indica-dominant hybrid strain from Plain Packaging is greenhouse-grown and has very mild THC potency. Its green buds are accented by orange hairs, and its myrcene terpene profile (which is also present in hops and thyme) produces an earthy, clove-like aroma. It’s available in various dried flower sizes.
",7.69,Hybrid,"Alpha-Pinene,Eudesmols,Guaiol,Myrcene,TrimethylPentanediol"
